Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
Gaëtan Merminod,,,Artist / Contributor,CH,,Project – Permeable,Probably,"Contributor to “Permeable”: Permeable merges the terrestrial and the aquatic into a unified environment, where defined boundaries dissolve into the immersive, volumetric nature of mist. Through experimentation with light and water, the work explores the threshold between two worlds, making the invisible ta…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
George Oates,,https://www.linkedin.com/in/georgeoates/,Open Lab contributor,AU Australia,,Open Lab – Creativity as civic infrastructure: CCIs and digital commons,Definitely,"George Oates is a software designer and entrepreneur who specializes in technology and cultural heritage. She is best known as the first designer of Flickr and creator of Flickr Commons, which made photography collections from public institutions more accessible online. After roles at Flickr, the Internet Archive and Stamen Design, she focused on digital preservation. In 2022, she founded the Flickr Foundation and co-founded Deep Keep to preserve digital cultural records.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Gerfried Stocker,,,Conference contributor,AT Austria,,Conference – Patterns of Dehumanization; Experience – Opening: Living Archives; Lecture & Talk – AI for Social Impact Award: Insights from the Jury & Introduction to the Initiative; Lecture & Talk – Opening Remarks,Definitely,"Gerfried Stocker is a media artist and telecommunications engineer. Since 1995, Gerfried Stocker has served as artistic director and managing director of Ars Electronica. Working with a small team of artists and technicians, he developed the exhibition strategies for the Ars Electronica Center in 1995–96 and oversaw the establishment of a research and development department, the Ars Electronica Futurelab. Under his leadership, the program for international Ars Electronica exhibitions was established starting in 2004; planning and a repositioning of the content for the Ars Electronica Center—w…",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Gerhard Funk,,,Artist / Participant,AT Austria,,Experience – Minute Paintings / Pictures of an Exhibition,Definitely,"Gerhard Funk studied mathematics and art education, and received his PhD in computer science. From 2004 until 2022, he was a full professor at the University of Arts Linz and head of the Time-based and Interactive Media Arts department. Since 2014, he has been developing the concept of “Cooperative Aesthetics”, a collection of programs designed to enable audiences to create collective audiovisual experiences. His works have been shown in Linz, Milan, Shanghai, Boston and Zagreb, among other cities.",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Gerhard Raab,,,Musician / Performer,AT,,Concert – Olivier Messiaen “Apparition de l'Église éternelle”,Definitely,"Contributor to “Olivier Messiaen “Apparition de l'Église éternelle””: With Olivier Messiaen’s Apparition de l'Église éternelle, cathedral organist Gerhard Raab brings a monumental masterpiece of modern organ music to the acoustic space of the St. Mary’s Cathedral.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Ghazal Hosseini,,,Conference contributor,AT,,Conference – Academic Session: Research Track,Definitely,Contributor to “Academic Session: Research Track”: The Academic Session: Research Papers presents six contributions selected through the Expanded Conference Open Call.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Gi-chan Chung,,,Artist / Contributor,KR,,Project – 1KM,Probably,"Contributor to “1KM”: 1KM turns scrolling into a physical record. At set times, visitors scroll an Instagram-like feed. Their actions print a receipt to take away, while a second strip feeds a shared paper archive. These become a growing ""graveyard,"" revealing the unnoticed distance of digital consum…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Gisa Schosswohl,,https://www.instagram.com/gisaschoss/,Workshop leader,AT Austria,,Workshop – Policy Lab “The Empty Chair”,Definitely,"Gisa Schosswohl works at the intersection of European innovation policy and regional strategy, focusing on how Creative and Cultural Industries (CCI) contribute to societal, economic and green transformation. Her expertise spans RIS3 (Smart Specialisation Strategies) and cross-sector collaboration. She co-initiated the Policy Lab and contributes the European policy perspective, with a focus on structural roles, effective instruments and realistic implementation pathways.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,http://www.into-projects.com
God’s Entertainment,,https://www.instagram.com/godsentertainment_wien/?hl=de,Artist collective / Group,,,Project – ZUSAMMEN ODER GETRENNT?,Probably,"God’s Entertainment is an interdisciplinary artists’ collective from Vienna that has been active in the fields of performance, happenings, visual art and sound since its founding in 2005. Their projects combine aesthetic quality with depth of content and make a valuable contribution to cultural diversity. Particularly noteworthy is their ability to reflect on current social issues in a playful yet critical manner and to make these issues accessible to a broad audience.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://www.gods-entertainment.org/index.php?view=article&id=93:page-2&catid=2
gold extra,,https://www.instagram.com/gold_extra/,Exhibiting artist,AT Austria,,Exhibition – Idyll; Exhibition – WE ARE,Probably,"gold extra is a group of artists working at the intersections of games, digital art, theater, film and the visual arts. They explore the development of new formats—such as documentary video games—and examine games as platforms for communicating sociopolitical issues. The ongoing exploration of innovative forms of artistic expression is a central focus of their work.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://goldextra.com/en/idyll
gordon fung,,,Performer,US,,Performance – sonatas and interludes for unprepared performers (2023–ongoing),Probably,Contributor to “sonatas and interludes for unprepared performers (2023–ongoing)”: This series of participatory event scores is an unanticipated invitation for audiences to perform. The event- and site-specific scores use simple instructions and actions to foster mobilization and social empowerment through co-creating a shared performance space of serious play.,Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Gregor Pechmann,,https://www.instagram.com/grexxen.art/,Tour contributor,AT Austria,,Project – Into the JKUniverse – Future starts with you; Guided Tour – JKU Art & Science Tour (EN); Guided Tour – JKU Art & Science Tour (DE),Definitely,"Since 2020, Gregor Pechmann has been responsible for the central coordination of JKU Linz’s activities at the Ars Electronica Festival, including the university’s festival locations at the JKU Campus Auhof and JKU MED Campus, as well as various Art & Science projects funded by the Linz Institute of Technology (LIT). In addition, he contributed as an artist to the LIT projects “Melody of Crisis/Joy” (2022) and “Into the JKUniverse – Science starts with you” (2025).",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://grexxen.com/
Gregory Lik Hoo Wee,,,Performer,MY,,Performance – Terrestrial Decolonization: Hold My Breath,Probably,"Contributor to “Terrestrial Decolonization: Hold My Breath”: A protest against conservation that preserves species while erasing their ecological and cultural relationships. Terrestrial Decolonization: Hold My Breath introduces Synesthetic Ecologies, bridging Borneo and Linz through AI and Indigenous visual languages inspired by Pua Kumbu…",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Guilherme Ikeda,,,Artist / Contributor,BR,,Project – Biomimetic + P.U.L.S.A.R,Probably,"Contributor to “Biomimetic + P.U.L.S.A.R”: The artwork explores self-regulating responsive systems mapping environmental gestures. Inspired by fungi and Mimosa pudica, it transforms natural behaviors into interactive responses, metaphorically reflecting interpersonal relationships through adaptation, feedback and connect…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Guilherme Menegasso,,,Artist / Contributor,BR,,Project – Biomimetic + P.U.L.S.A.R,Probably,"Contributor to “Biomimetic + P.U.L.S.A.R”: The artwork explores self-regulating responsive systems mapping environmental gestures. Inspired by fungi and Mimosa pudica, it transforms natural behaviors into interactive responses, metaphorically reflecting interpersonal relationships through adaptation, feedback and connect…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Guillemette Legrand,,,Artist / Contributor,FR,,Project – Critical Debugging Practices,Probably,Contributor to “Critical Debugging Practices”: This installation explores debugging practices to undo the computation of Earth and everyday life. Guillemette debugs climate models’ imaginary by translating their physics and politics into a game engine; Yann uses debugging software to expose how exploitative labor operates at…,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Guillermo Antiñolo Gil,,https://www.instagram.com/guillermoantinolo/,Artist (Meet the Artist),ES Spain,,Meet the Artist – MEET THE SCIENTIST: ASTER+S > ART ^ GENETICS,Definitely,"Guillermo Antiñolo Gil is a professor of Obstetrics and Gynecology at the University of Seville and in the Andalusian Health System, who has extensive international experience in the fields of Biomedicine, Human Genetics and Medical Genomics, Fetal Medicine and Reproductive Health. He has received numerous awards, and has been named by Forbes as one of the best doctors in Spain (2018–21 and 2023) within the field of Gynecology and Obstetrics.",Ask about their work in Meet the Artist and possible exchange or residency ideas with hosq in Armenia.,https://investigacion.us.es/sisius/sis_showpub.php?idpers=9330
Guo Zhengnan,,,Artist / Contributor,CN,,Project – Assembled Faces,Probably,"Contributor to “Assembled Faces”: Assembled Faces is a 3D mapping installation exploring identity and surveillance. A camera captures viewers’ faces, using AI to mutate their features. The resulting algorithmic double is projected onto a wall of 3D-printed faces, critiquing how AI biases silently recode human id…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Gustav Gressel,,https://www.linkedin.com/in/gustav-gressel-phd-1995965/,Panelist,DE Germany,,Panel Discussion – Weaponized Information - Disinformation as a Geopolitical Tool,Definitely,"Before joining the National Defence Academy of the Austrian Armed Forces, Gressel served as a Senior Policy Fellow at the ECFR Berlin Office from 2014 to 2024. From 2003 to 2014 he served in the Bureau for Security Policy of the Austrian MoD, prior to his academic career in the Austrian Armed Forces. Gustav earned a PhD in Strategic Studies at the Faculty of Military Sciences at the National University of Public Service, Budapest and a Master Degree in political science at Salzburg University.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,
Gustiele Fistaról,,,Artist / Contributor,BR,,Project – Spectral Roots,Probably,Contributor to “Spectral Roots”: Spectral Roots is an interactive installation linking 19th-century and contemporary extraction.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Gyuwon Kim,,,Artist / Contributor,KR,,Project – www.buy-a-toad.com,Probably,"Contributor to “www.buy-a-toad.com”: www.buy-a-toad.com is an interactive installation where buying a digital “sealing toad” causes a human figure to dissolve into leaked data. Inspired by a Korean folktale, the work exposes how trying to stop data leakage only worsens it, proving nothing can seal the fractures of…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Gökay Atabek,,https://volksamt.org/,Artist (Meet the Artist),TR Turkey,,Project – B10d13$3L-LLM; Meet the Artist – Test_Lab: Incompleteness as Reorientation; Performance – B10d13$3L-LLM as a performative installation,Definitely,"Gökay Atabek is a media artist and musician, originally from Istanbul, who is currently based in The Hague. In 2018, he founded Volksamt! Kultur Manufaktur, a de facto collective for intermedia art and experimental music, specializing in genuine imitations.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,https://volksamt.org/
Günter Wallner,,https://www.jku.at/en/institute-of-computer-graphics/,Artist / Participant,AT Austria,,Project – RADICAL GAMING,Probably,"Günter Wallner is a professor in Game Computing at JKU Linz. His research interests lie at the intersection of games user research, data analytics and information visualization. In particular, his work centers on understanding player behavior in games to derive actionable insights for game design and development.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://www.jku.at/en/institute-of-computer-graphics/
h.o,,,Exhibiting artist,,,Exhibition – Regenerating with the Invisible,Probably,"Contributor to “Regenerating with the Invisible”: This exhibition explores coexistence and regeneration across different scales: the body, the city and the planet. What unfolds here is not a single world, but a Pluriverse—a multiplicity of worlds that emerges through our relationships with the invisible.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hala Amer,,,Artist / Contributor,JO,,Project – Ephemeral Sounds of the Gulf,Probably,"Contributor to “Ephemeral Sounds of the Gulf”: This project explores the ephemerality of sound in the Gulf through biomaterials, raising awareness of plastic pollution and digitization. Through homemade vinyl records, it examines how impermanence shapes the meaning, value and fragility of human creation.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hamin Shin,,,Artist / Contributor,KR,,Project – Baram,Probably,"Contributor to “Baram”: Technology blurs our essence, but “Baram”—the Korean word for wind and wish—defines us. Speak your baram into this digital shrine: your voice becomes wind, light and sound through a sacred tree and its meaning weaves into a talisman. As the machine learns to understand us, can i…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hanif Haghtalab,,,Conference contributor,AT,,Conference – Academic Session: Research Track,Definitely,Contributor to “Academic Session: Research Track”: The Academic Session: Research Papers presents six contributions selected through the Expanded Conference Open Call.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Hanifa Hannan,,,Artist / Contributor,DE,,Project – Urban Screen Lab,Definitely,"Contributor to “Urban Screen Lab”: As part of this laboratory for digital practice, the media façade of the Ars Electronica Center becomes an experimental field for a young generation of media artists. Under the artistic direction of Dawid Liftinger and Karin Balkenhol, six independent works for the iconic façade…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hanita Hajiabolhassan,,,Exhibiting artist,IR Iran,,Exhibition – The Beauty Hidden in Pain,Probably,"Hanita Hajiabolhassan (b. 2008, Iran) is an interdisciplinary artist and researcher based in Austria. Her work connects science, art, and technology, exploring how scientific processes can inspire new forms of perception and creativity. She has received awards including a Gold Medal at the International Mathematics and Science Olympiad (IMSO) and a Bronze Medal at the Styrian Mathematics Olympiad. In 2025, her video project for the Austrian Research Promotion Agency (FFG) also received recognition.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hanna Kortus,,,Artist / Contributor,DE,,Project – Egomaniac – Color The Night,Probably,"Contributor to “Egomaniac – Color The Night”: Central to this song is the experience of queer people whose voices are systematically silenced by ignorance and homophobia. It explores distorted perspectives, powerlessness and the pain that arises, as well as the mechanisms behind them.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hannah Lee,,,Artist / Contributor,SG,,Project – Co-Blauw,Probably,"Contributor to “Co-Blauw”: Co-Blauw is a live painting installation. Visitors paint by holding and guiding the brush-equipped robot arm to create Delft Blue style strokes. From this demonstration, the robot learns the painters’ personal style and reproduces it. The robot’s small mistakes are where new mot…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hannes Buchwieser,,https://www.instagram.com/jdb_records_vienna/,Performer,DE Germany,,Performance – Alien in the Closet; Project – UNSEEN FREQUENCIES,Definitely,"Hannes Buchwieser is an experimental musician and interdisciplinary artist who explores the intersections of art, science and technology. In his sound performances, he uses microscopes that “communicate” with analog synthesizers via coding. This creates a synthesis of organic sounds and electronic sound processing that makes the inaudible audible and enables collaborative music-making with microorganisms. The work translates biological processes into sound, thereby creating a shared space of perception between human experience and microbiological processes. The functioning of this musical app…",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Hannes Wizany,,,Artist / Contributor,AT,,Project – Into the JKUniverse – Future starts with you,Probably,"Contributor to “Into the JKUniverse – Future starts with you”: What should we remember, rethink and carry forward? Marking 60 years of JKU Linz and 30 years of Ars Electronica Center/Futurelab, this art & science project invites visitors to explore past collaborations and contribute their own questions and visions for the future.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hansi Raber,,,Exhibiting artist,AT,,Exhibition – Tug of War for the Future,Probably,"Contributor to “Tug of War for the Future”: This project brings together works by international students at the University of Arts Linz. Exploring progress and critique, hope and concern, the exhibition offers a space to reflect on the contradictions of our technological future.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hao Li,,,Artist / Contributor,CN,,Project – KARMA,Probably,"Contributor to “KARMA”: This multi-channel audiovisual installation explores generative AI as a process of transforming possibility into perception. Combining live-action footage with AI-generated imagery creates an immersive space that blurs the boundaries between the real, the imagined and the algori…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
HaoChen Li,,,Artist / Contributor,CN,,Project – The Bias of Creation: Embodied Aesthetic Negotiation,Probably,Contributor to “The Bias of Creation: Embodied Aesthetic Negotiation”: This embodied AI installation stages a negotiation between human and machine aesthetics. An LLM-driven robotic arm collaborates with visitors to assemble abstract 3D-printed forms while advocating its own silicon-based sense of beauty.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Haoran Zhang,,,Artist / Contributor,CN,,Project – Co-Breathing,Probably,"Contributor to “Co-Breathing”: Co-Breathing stages an evolving encounter between a fish, a human viewer and a responsive tank. Through water, air, vibration, odor and light, it gradually shifts the notion of interaction from being one of observation and control toward a more fragile sense of co-presence.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hari Krishnan Subramaniyan,,,Artist / Contributor,IN,,Project – G.A.U.D.I.,Probably,"Contributor to “G.A.U.D.I.”: G.A.U.D.I. explores gesture-enabled human-robot co-creation as a framework for additive manufacturing. It demonstrates a workflow that combines robotic precision and human intuition to create expressive geometry by manipulating material in real-time, using natural human gestures…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Harry Keller,,https://www.instagram.com/harryfk,Panelist,DE Germany,,Panel Discussion – Designing the Digital Public: Building Spaces for Democratic Negotiation,Definitely,"Harry Keller is a software developer from Berlin, living in Bavaria. Over the years, he has started several creative businesses, the latest being Village One, a worker-owned studio for ethical design and technology. Among their project partners is the German newspaper DIE ZEIT, with the “My Country Talks” initiative: an international project to facilitate tens of thousands of unlikely conversations, between people who see the world differently.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,https://www.harryfk.com
Hassan Wakaf,,,Artist / Contributor,"SY, BR",,Project – Phobos,Probably,"Contributor to “Phobos”: Phobos is an interactive installation that mimics inner dialogs, raising questions that challenge certainties and invite reflection.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Heba Y. Amin,,https://www.instagram.com/hebayamin/,Artist / Participant,EG Egypt,,Project – Operation Sunken Sea,Probably,"Heba Y. Amin is an artist who engages with political themes and archival history through mixed-media. Her artistic research takes a speculative approach to challenging narratives of conquest and control. Amin is a professor of Digital and Time-based Art at ABK Stuttgart. She was most recently awarded the City of Stuttgart Art prize. Furthermore, Amin is behind the subversive graffiti on the set of the television series Homeland, which has received worldwide media attention.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,http://www.hebaamin.com
Heike Kaltenbrunner,,https://kaltenbrunner.klingt.org,Performer,AT Austria,,Project – Noise of War; Performance – Never In Our Image – Gun Destruction Opera,Definitely,"Heike Kaltenbrunner (b. 1979, Linz) is a sound and media artist and lecturer in Sound Art. Her artistic practice and research focus on object-based spatial and sound installations that create experimental spaces for different encounters. Her points of reference range from the grand phenomena of the cosmos to human perception. Her works have been exhibited internationally, including at the Smithsonian Hirshhorn Museum, the ICMC and at festivals such as Konfrontationen and Music Unlimited.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,https://kaltenbrunner.klingt.org
Heike Kaltenbrunner & Guests,,,Performer,AT,,Performance – Never In Our Image – Gun Destruction Opera,Definitely,"Contributor to “Never In Our Image – Gun Destruction Opera”: As part of STWST84x12 HAUNTED, one act of the three-part Queer Gun Destruction Opera Never In Our Image will be performed.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Heiko Tubbesing,,,Artist / Contributor,DE,,Project – OYA,Probably,"Contributor to “OYA”: OYA is a 13-minute mixed-reality installation by Tobias Staab with dancer Black Pearl de Almeida Lima. Drawing on her lived experience of transition, it stages a body in becoming—a holographic presence moving fluidly between the recorded and the rendered, death and rebirth.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Helene Burtscher,,,Workshop leader,AT,,Workshop – The Virus Stories We Carry,Definitely,"Contributor to “The Virus Stories We Carry”: What if we could meet viruses on a human scale? This hands-on workshop invites participants to encounter viruses through touch, embodiment and collective making.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Helene Mondria,,,Artist / Contributor,AT,,Project – Crafting Futures Lab; Workshop – Crafting Futures Aperitif: Liquid Archives,Definitely,"Contributor to “Crafting Futures Lab”: The Crafting Futures Lab presents an exhibition-in-progress where making becomes collective research. Starting with material—its grain, resistance, memory—we follow the stories embedded in fibers, dust, tools and hands.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Hengyu Meng,,,Artist / Contributor,CN,,Project – Becoming Space,Probably,"Contributor to “Becoming Space”: This sculpture and video installation explores human-animal transformation through Ovid’s Metamorphoses and Deleuze and Guattari’s concept of “becoming-animal.” Using generative AI and 3D printing, agency is distributed across algorithms, text, machines and matter, creating a no…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Henrik Palmer,,,Artist / Contributor,"US, DE",,Project – Evidentiary Syntheses,Probably,"Contributor to “Evidentiary Syntheses”: Evidentiary Syntheses unites two approaches on reconstruction and evidence-making: One uses listening and audio analysis to build forensic composites of spaces, the other maps the Russification of occupied Ukrainian territories through open-source investigations with Amnesty Int…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Herbert Kotschnig,,,Performer,AT,,Performance – The Elon Musk Antagonist,Definitely,"Contributor to “The Elon Musk Antagonist”: Elon Musk wielded a chainsaw against public services, social and environmental rights. Attac flips it: Within the participative performances people can oppose the power of billionaires, tech oligarchs and the ultra-rich. Come and watch how power gets dismantled and alternatives…",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Herzent Emil Anak Bita,,,Exhibiting artist,MY,,Exhibition – The Sleeping Archive,Probably,"Contributor to “The Sleeping Archive”: Transforming threads into code, this project reinterprets Sarawak indigenous weaving through pixels, algorithms and interaction. It connects cultural heritage with contemporary technology, creating a living digital space where tradition, creativity and identity can evolve and en…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hideaki Ogawa,,https://www.linkedin.com/in/hideaki-ogawa/,Networking host / guest,"AT Austria, JP Japan",,Networking Event – Town Hall Meeting: Hello Worlds!; Networking Event – Networking: Art Thinking,Definitely,"Hideaki Ogawa was born in Tokyo, Japan. Based in Linz, Austria since 2007, Ogawa has served as an artist, curator and researcher at Ars Electronica. Today, he is the Artistic Director of the Ars Electronica Futurelab, at the R&D division of Ars Electronica, Artistic Director of Sapporo International Art Festival 2027 and Creative Director of Civic Creative Base Tokyo.",Use the networking moment to introduce hosq and ask about partnership frameworks.,https://ars.electronica.art/futurelab/en/
Hisko Hulsing,,,Conference contributor,NL,,Conference – ASIFA Austria Forum: Current Perspectives,Definitely,"Contributor to “ASIFA Austria Forum: Current Perspectives”: ASIFA Austria Forum: Current Perspectives brings together artists 2girls1comp, Claudia Larcher and Hisko Hulsing to discuss contemporary animation practices, exploring game hacking, ecological mourning, generative AI, political storytelling and new approaches to image-making.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Hito Steyerl,,https://www.hitosteyerl.net/,Tour contributor,DE Germany,,Guided Tour – Artist Walk Tour: Negotiating Humanity; Lecture & Talk – Mechanical Kurds; Panel Discussion – Soul or Arsenal?; Project – Mechanical Kurds,Definitely,Hito Steyerl is a filmmaker and writer based in Berlin.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,https://www.hitosteyerl.net/
Hojin Yoo,,,Artist / Contributor,KR,,Project – Homo Eucalyptus,Probably,"Contributor to “Homo Eucalyptus”: Homo Eucalyptus explores how humans lose potential through the lens of a koala’s ecology. Just as koalas depend solely on one food source, humans who rely on AI's instant answers risk relinquishing their ability to think, confronting the quiet erosion of human agency in a though…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Holunder Heiss,,,Artist / Contributor,AT,,Experience – Interplayful Environments Part II,Definitely,"Contributor to “Interplayful Environments Part II”: A key research focus of the Time-based and Interactive Media Art Department is the playful interaction of humans, sensors and high-resolution projection. The resulting interactive artworks and live performances will be shown in Deep Space 8K and Studio 1 at Hauptplatz 8 as part…",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Holunder Heiß,,,Artist / Participant,AT Austria,,Experience – Aeolian Autumn,Probably,"Holunder Heiß is a media artist who mainly works at the interface between technology, art and humans. The interaction and experience of his artistic works are essential components of his work. Holunder Heiß was born in Innsbruck, lives in Vienna and graduated from the Digital Art program at the University of Applied Arts Vienna. Since 2016, he has been working as a senior artist in the team of the Time-Based and Interactive Media Art program at the University of Art Linz.",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Hong Chen,,,Artist / Contributor,CN,,Project – The Command of Origin; Project – Who Speaks for Me,Probably,"Contributor to “The Command of Origin”: The Command of Origin is an experimental film centered on a particle universe that appears to generate its own order. Through particle movement, individuality, collectivity and larger systems gradually emerge.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hoonida Kim,,https://www.instagram.com/hoonidakim/,Artist / Participant,KR South Korea,,Project – Fine-Tuning Human Sense 2.1,Probably,"Hoonida Kim explores how technology permeates and transforms human ecology. As human perception and sensibility fail to keep pace with social change and floods of information, he creates “environmental recognition apparatuses” and attempts to implant them in humans, directly or indirectly. His work, including Meditation on YouTube (2023), was shown at MMCA and the Museum of Contemporary Art Busan (2026). He received a Prix Ars Electronica Honorary Mention in Artificial Life & Intelligence.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://hoonida.com
hosted by Creative Region,,,Workshop leader,AT,,Workshop – Policy Lab “The Empty Chair”,Definitely,"Contributor to “Policy Lab “The Empty Chair””: Košice shares lessons from linking creative talent with technology, business and the public sector. The question: how can the empty chair become a permanent seat for creative capabilities in Upper Austria’s innovation policy?",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Hsianghua Chang,,,Conference contributor,TW,,Conference – Academic Session: Art Track #3 Control,Definitely,"Contributor to “Academic Session: Art Track #3 Control”: The Academic Session #3 Art Track: Control presents five Art Papers from the Expanded Conference Open Call that examine how control is negotiated between humans, technologies, materials and environments in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
HsienYu Cheng,,https://chenghsienyu.com,Artist / Participant,TW Taiwan,,,Possibly,"HsienYu Cheng (b. 1984, Kaohsiung) is an artist and software developer creating artworks, software and bio-electronic devices exploring human behavior, emotion and relationships with machines—often with humor. Awards include the Taipei Digital Art Award (2014), Kaohsiung Art Award (2017), Tung Chung Art Award (2019), and the 19th Taishin Arts Award (2021). Recent shows: Ars Electronica, Sónar Barcelona, YPAM Yokohama, Ludwig Budapest.",Ask about their work in media art and possible exchange or residency ideas with hosq in Armenia.,https://chenghsienyu.com
Hsin-Yi Lin,,,Artist / Contributor,TW,,Project – Aquaoism,Probably,"Contributor to “Aquaoism”: Aquaoism is a speculative scientific religion set in a future shaped by a climate crisis due to human's unlimited exploitation of resources. A living altar, where multiple species meet, representing a collection of non-human intelligence as a new source of wisdom.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Hsin-Yuan Ho,,,Performer,TW,,Project – Sound Campus (WED 9.9.); Project – Stone Dream v2.0; Performance – de-attractor,Definitely,"Contributor to “Stone Dream v2.0”: Rocks hold deep geological memory. Refined into silicon wafers, they become the basis of computation, turning ancient time into logic. This work imagines a recursive dialogue between matter and technology, where silicon dreams of its chaotic origins.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Hungaro Media,,,Performer,AT,,Performance – Declaring Humanity,Definitely,"Contributor to “Declaring Humanity”: From the Declaration of Human Rights to declaring humanity. The square in front of St Mary’s Cathedral becomes a place of commitment to human rights. Multilingual, multinational, universal.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Hyeeun Lee,,,Artist / Contributor,KR,,Project – Immersive Beats,Probably,"Contributor to “Immersive Beats”: Born from a cross-cultural collaboration between Korean and Hungarian students, the project combines Artificial Intelligence, music and immersive filmmaking techniques to create original 360-degree music videos.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
I-ID,,,Musician / Performer,IR,,Concert – Face Shift,Probably,"Contributor to “Face Shift”: FACE SHIFT is a raw, improvisational live performance by I-ID and Mascha Illich, blending analogue synthesis, live DJing, noise and fractured rhythms. An immersive journey through tension, movement and transformation, where every performance unfolds uniquely in real time.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Iana Miranda Carmé,,,Artist / Contributor,ES,,Project – Ex-Vivo,Probably,"Contributor to “Ex-Vivo”: Ex-Vivo transforms CRISPR gene editing into a sensory experience. A textile structure with embedded LEDs reacts to viewers’ proximity, while reconfigurable fabric strips evoke the processes of editing and repairing DNA. The work reflects on the possibilities and responsibilities…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
